0.00.log,0.50.log,1.00.log,1.50.log,2.00.log,2.50.log,3.00.log,3.50.log,4.00.log,4.50.log,5.00.log,5.50.log,6.00.log,6.50.log,7.00.log,7.50.log,8.00.log,8.50.log,9.00.log,9.50.log,10.00.log
16378014,16367611,16385102,16373453,16385060,16375750,16512203,16433722,16380295,16522157,16431903,16459449,16441916,16449059,16456071,16500544,16477118,16511634,16540743,16514512,16535697
16378294,16367656,16388397,16374025,16387101,16376490,16513407,16435317,16383410,16523078,16431969,16462126,16443580,16449269,16458545,16504345,16479017,16512373,16543533,16516199,16536569
16379239,16368647,16388460,16374938,16387664,16376587,16513650,16437649,16384452,16523089,16432018,16462189,16443746,16450093,16465248,16504711,16479938,16513060,16544749,16517653,16537193
16381481,16368855,16390422,16375257,16387672,16376954,16513695,16439511,16385022,16525284,16432534,16466858,16445976,16451821,16465906,16505667,16480027,16513365,16548370,16522149,16537679
16382938,16369714,16393840,16375474,16389108,16378257,16514779,16440282,16388380,16525568,16433798,16469007,16448185,16453332,16466410,16507107,16480485,16513378,16548598,16525301,16538874
16383666,16369766,16393968,16375807,16390242,16381704,16514963,16440435,16388891,16527147,16433994,16471235,16448677,16456063,16467243,16508324,16481893,16513906,16554363,16526169,16539601
16386870,16370575,16395381,16378286,16391366,16382940,16516241,16441823,16391007,16528021,16435389,16471620,16452398,16456908,16467817,16508670,16482077,16518681,16555366,16526278,16541085
16387161,16374575,16396214,16378510,16391704,16383570,16519382,16441858,16392478,16528514,16439248,16471746,16453341,16458060,16468345,16509312,16482412,16519022,16556022,16528211,16541164
16388696,16375378,16398219,16382690,16394035,16385119,16520101,16442231,16393683,16530129,16439446,16472227,16454027,16458601,16468757,16509725,16482680,16519334,16556245,16529033,16542761
16390917,16375452,16398318,16383860,16395150,16387336,16520658,16442824,16394728,16531412,16440020,16472476,16455288,16459626,16468764,16509884,16482726,16522052,16556272,16530148,16542861
16391264,16375603,16398321,16383935,16395849,16393733,16521128,16442927,16395396,16531782,16440467,16472674,16456952,16460157,16468927,16510149,16483781,16522060,16557394,16531815,16545815
16393263,16375878,16399688,16384344,16398260,16394932,16521419,16444669,16396584,16532690,16441307,16473735,16457184,16461500,16469067,16510178,16484167,16523605,16557482,16535452,16549740
16393842,16376348,16400906,16384851,16400050,16395086,16521832,16445681,16398666,16533180,16444402,16475695,16457606,16462850,16469341,16511268,16484276,16524425,16557784,16535984,16550476
16394217,16377571,16402113,16385024,16404120,16398880,16523357,16446473,16399307,16533757,16449804,16476977,16459081,16463231,16470823,16511313,16484410,16524720,16558585,16538322,16551930
16394732,16379017,16402561,16386261,16405018,16399142,16525014,16446482,16400901,16533966,16450751,16480903,16460324,16463326,16472600,16512968,16484709,16526177,16559879,16541456,16552599
16395067,16380222,16403913,16386954,16407421,16400472,16525652,16447495,16401182,16534479,16453800,16481460,16460541,16464166,16472882,16513434,16485225,16526535,16561293,16543253,16553749
