0.00.log,0.50.log,1.00.log,1.50.log,2.00.log,2.50.log,3.00.log,3.50.log,4.00.log,4.50.log,5.00.log,5.50.log,6.00.log,6.50.log,7.00.log,7.50.log,8.00.log,8.50.log,9.00.log,9.50.log,10.00.log
29338799,28921906,28978355,28685033,28968195,28646406,28910397,28378790,28473610,28591035,28509408,28965372,28688456,28667965,28954126,28834249,28817855,28673181,28768912,29064010,28892742
29377995,28943105,28984494,28698185,28997185,28679804,28920427,28379414,28477993,28594939,28510621,28971364,28706261,28688510,28978398,28885113,28819728,28692698,28778667,29077025,28900304
29382977,28952729,28998097,28727409,29009318,28731368,28925272,28385372,28481553,28606230,28512871,28977031,28723572,28688647,29019488,28909162,28833505,28717916,28795874,29079899,28902222
29401125,28965432,29014474,28739802,29010824,28789137,28932303,28387706,28495632,28621312,28519852,28978108,28745263,28693315,29030011,28920345,28839862,28746647,28804654,29082841,28927902
29418283,28968975,29025814,28804413,29096643,28808171,28978420,28387810,28499440,28635656,28534877,28992232,28745393,28715407,29044698,28937104,28844390,28747282,28817630,29094588,28934713
29420054,28979833,29032972,28828403,29096791,28816499,29006650,28391467,28500289,28637662,28534915,28997622,28766604,28746078,29049396,28940162,28853160,28750916,28821221,29096106,28942637
29425966,28987211,29045300,28871252,29118675,28828650,29036305,28400124,28513394,28642981,28542373,29017748,28783493,28753430,29054834,28962965,28864010,28754560,28828389,29112854,28946429
29432246,29000928,29046409,28885868,29137870,28942194,29039442,28414845,28519842,28677071,28545653,29034053,28803703,28760392,29067648,28977752,28864298,28818683,28833053,29118031,28954407
29440445,29019812,29046707,28909145,29152379,28958287,29043726,28416920,28520197,28702027,28549777,29063070,28809833,28768251,29083513,29025843,28870613,28824127,28834272,29126028,28959165
29451906,29021143,29050068,28923062,29194716,28981235,29050576,28434728,28529264,28726942,28553318,29067030,28814875,28804990,29083983,29042411,28897961,28824204,28838221,29128209,28965481
29452165,29068715,29057965,28943694,29207972,28996604,29066560,28436906,28530480,28767715,28555548,29083884,28843856,28805388,29087030,29061492,28952168,28855864,28842771,29132603,28969363
29479981,29089935,29058510,28987414,29220570,28998167,29073403,28438606,28532330,28794407,28568719,29089111,28851582,28825549,29097606,29065596,28956231,28867988,28843796,29134444,28984597
29490798,29132109,29066427,29043058,29242390,29018728,29077358,28446133,28534306,28853937,28571385,29089947,28852483,28840964,29100326,29092668,28959267,28878579,28847477,29145627,28985462
29507997,29137980,29076834,29066168,29245895,29030162,29082234,28461624,28555673,28877824,28581541,29093973,28852827,28844934,29114235,29100086,28960454,28904312,28872043,29150394,28988615
29542101,29143213,29091939,29068206,29258013,29037402,29106055,28474728,28558229,28878857,28602307,29099077,28869542,28847012,29116472,29101766,28966063,28908673,28886416,29158448,28993793
29554778,29149231,29096291,29076458,29305881,29066180,29110625,28478869,28571843,28882206,28606776,29111058,28883099,28849338,29118733,29103571,28970299,28923576,28888267,29166190,29025472
29559933,29162095,29143669,29082392,29334151,29087263,29117368,28481165,28591552,28899686,28608693,29113842,28885185,28899266,29121174,29109588,28976642,28925185,28896629,29167246,29026205
29571488,29163366,29154110,29097312,29342180,29100093,29117504,28492432,28602667,28901623,28612438,29118804,28912136,28905638,29121593,29127743,28987028,28926220,28921542,29167353,29029320
29585322,29170653,29164889,29104618,29342988,29101874,29119841,28510671,28607864,28908044,28617775,29123567,28935322,28919038,29130172,29128334,29000588,28933924,28928491,29169226,29034929
29590026,29197147,29176437,29111525,29364947,29114851,29160598,28511557,28626032,28934082,28626721,29127141,28964810,28942162,29139663,29159796,29013425,28937026,28931488,29177396,29038311
29596139,29226950,29185684,29114937,29365293,29117074,29169334,28512945,28630841,28952875,28628066,29135567,28973510,28959299,29149211,29179720,29026767,28954243,28952338,29178738,29046440
29598559,29257535,29208108,29119260,29371285,29174377,29171147,28519593,28667037,28966009,28631324,29147346,28980698,28990162,29150429,29185980,29038889,28963480,28957210,29189638,29050288
29599568,29262023,29208778,29126451,29377672,29180029,29171771,28537300,28702112,28985886,28655012,29152780,28987436,29003289,29169253,29188232,29040429,28983144,28964294,29196828,29052083
29688057,29267819,29234354,29142379,29380222,29206706,29173630,28543235,28705641,28997913,28670258,29153138,29042809,29004761,29169766,29195388,29040432,28996624,28967712,29204349,29053121
29715504,29276734,29236236,29145236,29397313,29224878,29181977,28546812,28732486,29006188,28705183,29159233,29061127,29010582,29171676,29204210,29055206,29007437,28973758,29205007,29058946
29763339,29295172,29250539,29147632,29402565,29237545,29184547,28565912,28742799,29018282,28709295,29172222,29063178,29014839,29172730,29238325,29055495,29018604,28978584,29206255,29073970
29766949,29296752,29252925,29167096,29412952,29245609,29205628,28578594,28749112,29024499,28716519,29177878,29066793,29017038,29173358,29240748,29072918,29019336,28982508,29208967,29074441
29782361,29322081,29271923,29173961,29415707,29252684,29208047,28584970,28772605,29035210,28724362,29179215,29067339,29047392,29174227,29257182,29106964,29021805,28996152,29213256,29101160
29863222,29342611,29277231,29181498,29421448,29263669,29215575,28588673,28773281,29042952,28728030,29179307,29071590,29050021,29179266,29259419,29121970,29025357,29000213,29216359,29116759
29903167,29351934,29285854,29194865,29424075,29277042,29227024,28593357,28773389,29057222,28762121,29179422,29072306,29053526,29184733,29264078,29128067,29029505,29007328,29217422,29130614
30023293,29354897,29306093,29214211,29449309,29285798,29233379,28601646,28802690,29068927,28773829,29189835,29106104,29054969,29185519,29272495,29132415,29031664,29010207,29223196,29133417
30067921,29370139,29307692,29219627,29453042,29292937,29237132,28612517,28825195,29069643,28817303,29192106,29127814,29056967,29190915,29321796,29138406,29033156,29013161,29223820,29141175
